  <Chi2>	   dG(A)	   dG(B)	  dG(AB)	    m(A)	
1.099e-04	  -3.190	  -2.365	   4.373	   0.228	
1.090e-04	  -3.018	  -2.307	   4.282	   0.237	
1.184e-04	  -3.107	  -2.346	   4.312	   0.227	
8.818e-05	  -3.190	  -2.438	   4.464	   0.235	
8.919e-05	  -3.224	  -2.370	   4.391	   0.227	
1.040e-04	  -3.074	  -2.398	   4.370	   0.236	
9.043e-05	  -3.236	  -2.449	   4.469	   0.230	
1.175e-04	  -3.083	  -2.385	   4.313	   0.224	
8.112e-05	  -3.136	  -2.416	   4.399	   0.231	
1.280e-04	  -3.189	  -2.409	   4.426	   0.232	
1.187e-04	  -3.175	  -2.381	   4.424	   0.237	
1.217e-04	  -3.160	  -2.409	   4.418	   0.234	
1.142e-04	  -3.069	  -2.309	   4.271	   0.227	
1.041e-04	  -3.175	  -2.373	   4.371	   0.228	
1.131e-04	  -3.267	  -2.511	   4.550	   0.235	
1.051e-04	  -2.967	  -2.204	   4.143	   0.227	
8.376e-05	  -2.993	  -2.350	   4.275	   0.232	
1.224e-04	  -3.183	  -2.283	   4.346	   0.232	
1.050e-04	  -3.289	  -2.329	   4.410	   0.229	
9.799e-05	  -3.103	  -2.373	   4.359	   0.233	
1.135e-04	  -3.154	  -2.412	   4.359	   0.223	
9.307e-05	  -3.146	  -2.381	   4.361	   0.229	
1.020e-04	  -3.251	  -2.459	   4.436	   0.223	
8.463e-05	  -3.118	  -2.261	   4.298	   0.233	
1.094e-04	  -3.221	  -2.452	   4.471	   0.233	
1.069e-04	  -3.064	  -2.246	   4.241	   0.231	
1.101e-04	  -3.209	  -2.524	   4.512	   0.232	
1.072e-04	  -3.147	  -2.465	   4.419	   0.229	
1.112e-04	  -3.024	  -2.392	   4.277	   0.224	
8.888e-05	  -3.067	  -2.324	   4.257	   0.223	
9.769e-05	  -3.021	  -2.314	   4.259	   0.231	
1.072e-04	  -3.161	  -2.300	   4.352	   0.235	
1.044e-04	  -3.159	  -2.376	   4.403	   0.234	
1.198e-04	  -3.104	  -2.360	   4.341	   0.231	
1.093e-04	  -3.153	  -2.303	   4.369	   0.239	
8.802e-05	  -3.066	  -2.350	   4.310	   0.231	
9.630e-05	  -3.156	  -2.357	   4.390	   0.235	
9.491e-05	  -3.159	  -2.304	   4.361	   0.236	
1.058e-04	  -3.085	  -2.403	   4.364	   0.232	
1.210e-04	  -3.150	  -2.513	   4.470	   0.232	
7.385e-05	  -3.119	  -2.292	   4.318	   0.235	
9.226e-05	  -3.084	  -2.384	   4.328	   0.228	
1.096e-04	  -3.107	  -2.437	   4.388	   0.231	
1.178e-04	  -3.096	  -2.365	   4.345	   0.233	
1.197e-04	  -3.216	  -2.403	   4.418	   0.229	
9.102e-05	  -3.276	  -2.485	   4.522	   0.232	
1.179e-04	  -3.172	  -2.415	   4.420	   0.232	
1.036e-04	  -3.205	  -2.457	   4.500	   0.240	
9.711e-05	  -3.072	  -2.323	   4.315	   0.234	
8.779e-05	  -3.094	  -2.433	   4.357	   0.227	
9.994e-05	  -3.069	  -2.356	   4.313	   0.231	
1.083e-04	  -3.098	  -2.395	   4.346	   0.228	
9.765e-05	  -3.069	  -2.419	   4.354	   0.230	
1.057e-04	  -3.152	  -2.468	   4.432	   0.231	
9.637e-05	  -3.170	  -2.416	   4.415	   0.231	
9.898e-05	  -3.123	  -2.444	   4.419	   0.233	
1.188e-04	  -3.033	  -2.380	   4.332	   0.235	
8.666e-05	  -3.140	  -2.366	   4.417	   0.240	
1.278e-04	  -3.026	  -2.287	   4.253	   0.232	
1.049e-04	  -3.230	  -2.405	   4.434	   0.230	
1.146e-04	  -3.172	  -2.448	   4.453	   0.234	
9.754e-05	  -3.178	  -2.490	   4.463	   0.231	
9.662e-05	  -3.247	  -2.404	   4.456	   0.233	
9.949e-05	  -3.158	  -2.389	   4.404	   0.233	
9.213e-05	  -3.190	  -2.486	   4.493	   0.236	
1.162e-04	  -3.001	  -2.292	   4.217	   0.228	
1.179e-04	  -3.144	  -2.491	   4.449	   0.232	
9.415e-05	  -3.210	  -2.499	   4.514	   0.237	
8.701e-05	  -3.076	  -2.360	   4.309	   0.228	
9.387e-05	  -3.121	  -2.418	   4.350	   0.224	
9.491e-05	  -3.099	  -2.484	   4.421	   0.231	
9.455e-05	  -3.155	  -2.418	   4.412	   0.234	
9.070e-05	  -3.223	  -2.383	   4.447	   0.236	
1.032e-04	  -3.220	  -2.540	   4.535	   0.234	
1.025e-04	  -3.120	  -2.344	   4.350	   0.233	
1.040e-04	  -3.109	  -2.336	   4.342	   0.235	
1.076e-04	  -3.231	  -2.319	   4.382	   0.229	
1.092e-04	  -3.168	  -2.374	   4.404	   0.234	
1.075e-04	  -3.117	  -2.381	   4.383	   0.236	
1.010e-04	  -3.234	  -2.459	   4.490	   0.233	
1.021e-04	  -3.228	  -2.415	   4.465	   0.235	
1.004e-04	  -3.133	  -2.412	   4.395	   0.231	
9.823e-05	  -3.029	  -2.281	   4.239	   0.230	
1.155e-04	  -3.193	  -2.455	   4.464	   0.233	
9.205e-05	  -3.100	  -2.383	   4.384	   0.236	
9.753e-05	  -3.171	  -2.414	   4.408	   0.229	
1.243e-04	  -3.297	  -2.412	   4.529	   0.240	
1.119e-04	  -3.151	  -2.430	   4.396	   0.229	
1.031e-04	  -3.124	  -2.412	   4.399	   0.232	
1.092e-04	  -3.095	  -2.347	   4.330	   0.231	
9.376e-05	  -3.220	  -2.342	   4.369	   0.225	
7.924e-05	  -3.171	  -2.370	   4.396	   0.233	
1.193e-04	  -3.155	  -2.411	   4.378	   0.227	
1.050e-04	  -3.037	  -2.341	   4.291	   0.233	
8.261e-05	  -3.129	  -2.356	   4.351	   0.232	
8.699e-05	  -3.142	  -2.339	   4.397	   0.241	
9.358e-05	  -3.214	  -2.329	   4.352	   0.225	
1.178e-04	  -3.155	  -2.411	   4.395	   0.230	
1.189e-04	  -3.152	  -2.400	   4.379	   0.228	
1.071e-04	  -3.263	  -2.406	   4.477	   0.235	
1.007e-04	  -3.160	  -2.436	   4.436	   0.234	
1.002e-04	  -3.067	  -2.407	   4.334	   0.228	
1.170e-04	  -3.217	  -2.343	   4.347	   0.223	
1.055e-04	  -3.172	  -2.311	   4.344	   0.231	
